dataset,source_type,file,rows,columns,sha256,timestamp
A,clinical,D:\cvd-external-validation\data\raw\dataset_a_cvd.csv,70000,13,2423cc5534fdc70887471778fc92b673ebb53d0d5188537b9029643b8a10e275,2026-09-21T21:10:47.192892
B,self_reported,D:\cvd-external-validation\data\raw\dataset_b_brfss.csv,253680,22,19f367e3e3350768f0c144c5d73ee5b355f67a57eaaa86ca7bd8aec594d8b1d0,2026-09-21T21:10:47.251767
