variable,type,statistic,p_value,psi
age,continuous,1.0,0.0,12.435217367495962
bmi,continuous,0.11708770104068122,0.0,0.07364829290235078
gender,categorical,1854.3576972405972,0.0,
smoking,categorical,29787.683674992495,0.0,
alcohol,categorical,6.092383228295323,0.013576583883977,
physical_activity,categorical,682.6979414873935,1.7306830325679884e-150,
high_bp,categorical,1309.7028174359357,8.803785257615077e-287,
high_chol,categorical,6880.077084506554,0.0,
high_gluc,categorical,54.162584328130585,1.8456803558058072e-13,
